Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;26/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Cote d'Ivoire;CIV;Total fisheries production (metric tons);ER.FSH.PROD.MT;40500;42100;43600;45600;54600;59500;60800;66100;68400;67400;64302;77530;75199;60763;66690;58590;75917;67054;65012;73621;70068;75586;73753;79858;73701;101927;103648;101682;89506;99171;95100;83108;87345;70174;74095;70575;73839;67617;73390;79273;81520;77030;70676;69769;55267;43531;55696;48590;45089;44233;49738;55862;56233.2;65080.8;78560.23;102546.93;108680.81;99290.43;113774.76;114051.42;108536.38;111015.36;
Cameroon;CMR;Total fisheries production (metric tons);ER.FSH.PROD.MT;51700;56500;58100;59400;59800;61100;62600;63400;65100;68100;68800;64700;60400;57600;55736;66280;70397;70172;68878;81236;81085;79818;83101;77397;75581;74099;72104;70773;70966;69967;70848;69392;72032;65307;79070;94188;98587;102067;106867;110067;112159;121181;130465;118186;129395;142747;137667;139158;155846;172546;181570;190571;199840;208195;216575;225955;235505;270584;287445;303853.82;290130;300130;
Congo; Dem. Rep.;COD;Total fisheries production (metric tons);ER.FSH.PROD.MT;77000;75000;77000;69500;75000;81000;84000;93400;127700;149300;136600;123900;124200;156900;128810;113380;117858;107000;108706;115182;102415;102640;100700;102000;148300;148456;156514;162300;162600;167000;163400;166550;188570;197489;156547;159227;163610;163211;179874;210441;246695;234122;240655;237340;238717;237829;237582;237272.5;234472;231388;227516;224280;220929;230335;232533;233733;240598;241580;241880;242290;222440;233860
Congo; Rep.;COG;Total fisheries production (metric tons);ER.FSH.PROD.MT;11000;11000;12600;12500;13600;14000;14200;13600;14100;13900;14399;16010;24526;22200;23718;23103;26869;24364;26297;29630;31965;29665;30835;35255;32854;29939;32083;37852;41977;45840;48210;45577;40183;46982;42785;45915;45579;38181;43095;43699;46024;48894;51995;53934;57096;54696;59103;59241;54319;61461;65471;73568;81555;73791;74056;69928;87477;95727;99374;71080.84;71537.35;70330
Colombia;COL;Total fisheries production (metric tons);ER.FSH.PROD.MT;29800;43300;52000;47700;50300;53500;59200;86200;83600;57600;54500;37700;110700;105300;62418;66575;75109;63972;79590;63411;76224;94731;71442;57639;79289;71696.32;83645.48;86068.34;89930.34;97732.3;130129;115802;168235;148940.5;125420.5;167636;160089;191763;180549;180373;198847;203824;181959;191042;172564;182002;174129;188220;181092;187073;161535;171172;161658;160104;184881;177808;176023;206708.5;214299.21;283097.95;271275.45;321390.18;
Comoros;COM;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabo Verde;CPV;Total fisheries production (metric tons);ER.FSH.PROD.MT;1600;1600;1500;2000;2500;3500;4000;5900;4900;4000;5181;4153;4078;8333;3428;3900;3800;6000;7000;7476;8837;14730;12453;11863;10730;10190;7335;7312;6387;8614;6579.04;7378.1;6573;7000;8256;8495;9255;9705;9424;10360;10586;8676;8851;8136;11031;21931;19826;20127;21119;19213;21412;23077;20943.45;35983.8;35677.41;39393.28;27938.73;18617;26593.23;17195.32;19507.25;11651.87;
Costa Rica;CRI;Total fisheries production (metric tons);ER.FSH.PROD.MT;2200;2400;2500;2400;3600;3400;3300;3500;5000;4100;8100;10560;12550;12360;15554;16174;14201;15401;22655;20785;16453;16051;12625;11187;16575;20489;23057;17240;17069;17440;18943;18018;18254;19507;21044;24197;31321;33696;32557;37353;44871;44536;50937;50102;44708;45527;39157;45516;48464;44568.3;44755;41641.5;42332;48910;41511.5;38309.5;33988.61;33622.83;36377.57;39814.97;42948.32;46432.13;
Caribbean small states;CSS;Total fisheries production (metric tons);ER.FSH.PROD.MT;31823;38713;38563;36463;38023;41573;45093;46373;47763;50563;53532;52182;56852;59650;63999;65490;61411;75415;76607;72800;69658;69328.79;69709.04;77034.15;79237.07;83675.82;80005.9;85598.03;96946.66;96159.61;102806.18;109532.54;114590.54;118635.94;139415.02;136536.48;140151.15;161632.59;198633.69;212397;181490;210486;281228;245734;308390.5;301870.5;397424.74;508901.99;552365.13;502404.67;636308.24;526669.8;356844.09;242372.8;354888.88;356161.81;320510.33;387327.81;353475.71;334742.79;302503.76;301430.01;
Cuba;CUB;Total fisheries production (metric tons);ER.FSH.PROD.MT;31200;30600;35000;35612;37165;41080;43826;65975;66250;78919;104500;127110;139711;150387;164629;144053;194490;184759;213176;153701;186450;164834;195296;198494;199858.3;219862.9;244558.3;214773.6;231091.1;191882.9;188067.8;171061.6;111943.8;97708.3;93974.4;102342.2;120560.8;113168.5;98341.1;100811.1;101266;80277;59630;60985;59756;50869;54797;67011;65399;64894;55418;48703.8;48499.2;51680.7;56338.6;57690;52759;52758;51249;45468.3;46096.2;40717.8;
Curacao;CUW;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22074;25071.89;26196.68;28495.27;30159.19;35534.66;32626.13;37911.03;29213.84;23051.82;25027.24;
Cayman Islands;CYM;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;1391;3992;933;655;423;396;478;1097;386;615;837;586;825;445;125;125;110;125;125;125;125;125;125;125;125;125;125;135;135;135;135;135;135;135;135;135;135;135;135;135;135;135;
Cyprus;CYP;Total fisheries production (metric tons);ER.FSH.PROD.MT;500;400;600;600;600;1006;1009;1014;1412;1409;1363;1255;1340;1459;1221;950;1083;1220;1276;1314;1339;1462;1591;1988.77;2266;2438;2598.39;2593;2563;2625;2709;3048;9491;10275;9718;9772;13313;25788;20482;41060;70223;56606;142941;49561;82269;64933;33547;5646;5399;5107.5;5548.8;5854.98;5656.71;6522.09;6102.34;6946.54;8120.86;9031.11;8837.05;9638.39;8669.87;9263.63;
Czechia;CZE;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23427;22610;22608;21724;20881;21183;22965;24129;24744;24193;24797;23912;24697;25077;24723;24559;24183;24410;24869;24796;23118.4;23947;24041;24459;25242;25401;24707;24130;24305;
Germany;DEU;Total fisheries production (metric tons);ER.FSH.PROD.MT;787910;748670;782420;837580;850030;864690;881650;951500;986660;970714;939498;846312;761507;850953;897600;828055;744507;655548;625086;590774;562566;585026;551637;544751;553756;426457;415388;399721;393112;412656;390739;310593;313544;322510;279013;303985;319648;324785;339107;317421;269975;262551;271624;331927;315576;326053;328416;335505;318258;282954;283840;273024;240768;260396;268775;291653;312986;284216;313409;265150.8;244352.57;220311.85;
Djibouti;DJI;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;DMA;Total fisheries production (metric tons);ER.FSH.PROD.MT;500;500;600;600;600;500;500;500;600;600;500;600;700;800;900;1001;1024;1047;1070;642;1445;1514;1545;800;700;640;644;500;500;500;458;552;717;797;885;954;1034;1084;1217;1205;1207;1212;1211;963;718;598;718;701;723;796;711;668;631;533;1035;996;815;784;762;860.4;527.1;288.97;
Denmark;DNK;Total fisheries production (metric tons);ER.FSH.PROD.MT;574647;637492;785102;847904;871061;840830;850802;1070415;1466808;1275401;1226500;1400901;1442920;1443661;1835370;1767039;1919197;1806612;1750769;1741256;2032073;1859445;1931373;1870909;1851484;1796989;1849758;1707816;1974414;1929294;1517646;1793244;1997091;1654028;1916208;2043763;1723442;1866549;1599703;1447670;1577698;1552267;1474374;1068993;1133410;949610;904909;684221;726650;812882.4;864264;752305;537375.54;706187.2;779725.2;905178.7;706785;942371;825815;679876.49;775629.49;507097.28;
Dominican Republic;DOM;Total fisheries production (metric tons);ER.FSH.PROD.MT;1300;1600;1700;3200;4200;4100;3500;3200;4600;4800;5200;4600;5600;9200;6810;5906;7053;4594;5086;7885;10658;12003;13169;12852;13925;17202.9;17289.1;20452;12940;21884;19775;17454;13661;14204;26814;20080;13683;15212;10981;9166;13140;15864;20815;20041;16223;12173;13936;14789;16462;15463;15770;16152.9;14694.63;14763.58;15964.06;14184.89;16685.68;18143.54;16519.42;18731.01;16744.13;20396.88;
Algeria;DZA;Total fisheries production (metric tons);ER.FSH.PROD.MT;25500;30400;21500;16900;17300;18300;20350;21150;18250;23150;24234;23715;28313;31243;35758;37693;35122;43475;34143;38678;48000;56000;64500;65002;65595.9;66141.6;65511.8;94367.8;106741.3;99555.42;90603.24;79852;95420.91;102199.97;135798.86;106247.67;82317.8;91907.4;92620;102649;113510.9;134082;134800.8;141376;114050.2;126628.3;146051.8;147768.13;141642.34;129940.23;95222.75;104060.63;108187.4;103165.89;100163.06;97131.19;101964.45;108342.63;120166.41;105388.57;76954.71;83979.29;
East Asia & Pacific (excluding high income);EAP;Total fisheries production (metric tons);ER.FSH.PROD.MT;6032792;6338091;6648562;6982073;7408244;7873838;8399488;8698915;9293037;9697979;9740731;10656840;11538083;11719771;12066116;12480940;12893469;14451654;14996855;14551688;14898831;15554726;16521954;17617796.99;18601528.14;19962528.1;21908171.59;24279182.69;25645640.65;27401972.58;28063557.33;30562591.94;34853161.58;39588885.53;44547624.1;49684925.16;53700534.35;54333421.92;57343148.75;60425751.49;62673831.83;64399449.25;67385622.97;70552499.58;74735252.03;77960597.83;81301406.94;84444602.75;86991512.19;90474002.22;94425307.53;97992802.28;103553209.14;110468091.67;115203067.23;119121649.65;122029433.57;124454790.53;125923798.84;127738701.99;128559062;129716896.41;
Early-demographic dividend;EAR;Total fisheries production (metric tons);ER.FSH.PROD.MT;8504814.01;10426903;12300391;12623322;15458944;14191673;15933311.01;17799413;18925306;17566384;20818339;19167601;13474987;11895309;14151900;13453173;14401641;13200412.99;14936632.01;15636942.01;15132599;15609807.58;16591187.64;14934562.33;17477747.45;19223233.7;21216615.22;21170617.61;23826826.44;24264225.31;24331743.65;25114723.76;26967417.99;29547162.97;33210459.84;31468612.61;32751550.06;31832135.88;28140430.37;33499112;36422005.13;35266034.75;36710001.65;35186985.83;40211334.9;41694805.24;41251895.74;42709183.21;44995804.3;45709233.05;46101677.53;51665381.52;51716561.37;56695238.99;57329948.63;60750227.06;61242943.03;63622564.08;68149013.73;66578676.66;66691278.96;68669282.6;
East Asia & Pacific;EAS;Total fisheries production (metric tons);ER.FSH.PROD.MT;13062284;14012212;14554117;14813632;14984766;16068585;16946818;18149585;19683690;20077244;20898270;22654129;24236925;25281260;26012564;26299279;27171840;28911425.5;29514453;28995301;29913374;31222647.43;32124008.92;33924885.35;35952136.73;36849035.31;40099866.96;42121712.73;43797275.51;44897028.53;44834183.06;45848595.4;49883245.67;54140639.96;58465550.52;62991657.28;66694347.84;67534132.81;69465015.58;72460960.72;74087792.85;75641453.57;78290190.37;81748993.21;85428623.06;88845035.31;92356462.64;95992387.97;98333498.22;101202584.01;105051271.35;108262633.88;113807001.58;120638155.24;125662488.21;129309400.15;131608471.8;134449557.29;136066802.59;137798487.13;138432386.13;139592229.23;
Europe & Central Asia (excluding high income);ECA;Total fisheries production (metric tons);ER.FSH.PROD.MT;99160;92580;72600;140920;137850;159763;148431;238044;201062;261053;276442;269584;294504;256984;256477;289115;329164;311932;353249;446009;562412;587769;630335;690208;692741.09;692404.12;704305.13;752784.4;806581.8;569768.7;457104.7;426509;6789872.2;5579761;4853625;5586147.3;5841270.7;5739985.8;5672738.5;5428092.9;5218247;4748907.2;4367514.56;4367045.7;4068570.91;4282216;4429438.15;4778614.2;4614065.72;5011852.76;5289382.66;5475501.51;5485318.58;5556605.49;5349911.37;5674557.82;5907137.29;6185701.87;6508225.08;6722142.63;6769671;6940673.6;
Europe & Central Asia;ECS;Total fisheries production (metric tons);ER.FSH.PROD.MT;8044825;8460059;8619266;9055794.1;9834731.1;11063136.4;11726667.8;12308386;12160498;11626619;12344735;12474677;12711191;12988080;13154573;12994022;13963438;13931136;13246258.1;13123373.7;13306337.9;13463841.65;13085405.1;13601789.62;14002010.66;13828030.45;13643433.13;13728730.56;14098887.56;13319190.6;12135106.87;12134904.85;20293257.48;18863670.27;18361247.61;19873456.35;20136482.3;20619223.69;19968515.48;19258205.59;19340823.39;19058179.42;18441899.6;17733115.04;17171259.23;16914955.59;16654358.05;16937730.73;16444441.06;16881605.2;17427534.02;17095640.16;16936612.25;17281839.76;17625303.69;18212496.71;17739602.61;19059483.76;19305847.9;18691943.55;18599782.17;18629850.86;
Ecuador;ECU;Total fisheries production (metric tons);ER.FSH.PROD.MT;44300;38600;42500;49700;46300;53500;48200;57500;68900;64900;91020;102580;107040;152078;176500;215789;282793;425506;614512;605275;639542;539294;607927;372429;883405;1087676;1004271;680134;876024;682793;366643;437670;343511;374396;419344;614795;811854;671384;468138;629607;657800;645357;396805;494804;465447;602949;638648;579946;678793;718142;672594.8;818495;824536;841413;1024940;1059321.4;1160576.3;1107692;1178915;1303595.23;1410839.63;1760053.89;
Egypt; Arab Rep.;EGY;Total fisheries production (metric tons);ER.FSH.PROD.MT;88500;92000;118000;115000;135000;102400;99000;80300;80500;80000;76758;84268;79209;87514;98344;106574;102764;104541;99915;137481;140397;141715.58;155732.64;157306.39;163839.54;215955.77;229153.98;231112.89;284328.79;293605.8;312952;346048;346296.8;354040.7;368204.6;407116.5;431572.4;457037.2;545594;648942;724408;771498;801459;876305;865030;889302;970925;1008008;1067581;1092889;1304795;1362175;1371975.7;1454402.09;1481883.08;1518944;1706274.33;1777824.17;1967517;2038992.34;2010580;2001959.4
Euro area;EMU;Total fisheries production (metric tons);ER.FSH.PROD.MT;3739271;3879934;3912547;4106339.1;4353357.1;4542945.4;4573952.8;4799127;4988743;4798191;4882357;4741552;4769804;4955491;4969241;4850306;4692406;4445984;4473232.1;4232441.7;4393861.9;4624267.65;4758353.1;4736871.62;4838445.57;4917893.33;4960921;4962693.16;5003704.76;4898617.9;4674972.17;4530577.85;5042067.2;5078856;5060158.6;5325761;5205094.6;5156803.4;5317583.9;5230944.5;5071982.15;5194595.1;4832072.5;4880635.3;4780505.2;4780671.5;4835883.77;4698436.9;4475154.01;4427329.31;4506081.17;4325693.04;4032109.57;4124241.75;4408369.83;4240035.4;4313808.49;4440575.18;4375315.63;4062875.72;3691674.65;3767120.68;
Eritrea;ERI;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475;2706;3559;3252;1038;1852.9;6997.05;12718;8894;7869;6711;7410;4027;8813;2232;1965;3330;3586;2939;3924.35;3616.68;3695.73;6230.8;3309.13;3932.59;5801.24;5644.4;5104;4578.16;
Spain;ESP;Total fisheries production (metric tons);ER.FSH.PROD.MT;913401;978920;1050006;1057655.1;1133309.1;1255355.4;1269533.8;1360394;1524502;1481900;1582266;1521038;1569839;1598054;1603741;1604441;1605359;1531484;1548919.4;1360031;1375641.5;1396653.5;1465325;1408215.5;1441851.5;1489514.8;1502394.6;1539932.6;1598886;1530990.7;1334995.2;1303615.3;1263181.4;1228232.6;1290760.3;1421688.1;1423196;1461464.2;1572775.3;1511503.6;1374604;1402388.3;1140940.5;1160665.4;1113719.8;1080311.1;1259927.3;1108294.5;1178738.14;1204009.67;1232197.25;1288679.03;1201060.47;1219654.73;1352877.63;1274678.35;1207694.45;1271932.68;1293415.24;1199740.05;1080805.85;1088454.16;
Estonia;EST;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129689;147515;124508;132891;108992;126317;121854;113312;113572;105959;102622;80580;88877;100136;87587;100216;103393;99157.6;96304.04;81968.34;67194.4;70187.21;69753.47;73993.7;76523.73;83690.46;87994.66;87816.97;75232.59;73085;
Ethiopia;ETH;Total fisheries production (metric tons);ER.FSH.PROD.MT;8300;8600;9100;9600;12000;15900;16200;16200;14600;14400;17200;19100;14800;4700;5900;3930;2970;2472;2515;2800;3507;3828;3750;3900;4300;4000;4100;4000;4067;4269;4981;4262;4607;4203;5318;6380;8808;10394;14014;15873;15696;15405;12315;9228;10030;9475;9915;13279;16795;17072;18083;24066;28990;38416.3;50204.5;45609.5;50095;56127;57331;59432;60536;61390;
European Union;EUU;Total fisheries production (metric tons);ER.FSH.PROD.MT;4809581;5038072;5236893;5589218.1;5937706.1;6135414.4;6170952.8;6671096;7313652;6909611;7047370;7088516;7199497;7431739;7967470;7951201;7894161;7422408;7259896.1;7069212.7;7632395.9;7702130.65;7948270.1;8018137.62;8072109.57;8007684.33;8087713;7969823.16;8306988.76;8014292.9;7146087.17;7232685.85;8049768.28;7623212.27;7951696.61;8377423.05;7782447.6;7859471.89;7713928.98;7408134.69;7348001.39;7429472.22;6969569.04;6566769.34;6527950.32;6302105.59;6328519.9;5947125.53;5764438.09;5862905.28;5957272.93;5660363.77;5117274.55;5453370.61;5791936.76;5792433.97;5684260.66;6079958.63;5889111.76;5377299.62;5095990.41;4873864.42;
Fragile and conflict affected situations;FCS;Total fisheries production (metric tons);ER.FSH.PROD.MT;877103;879140;921986;932837;989511;1039002;1078303;1093114;1191316;1246251;1304726;1408721;1431572;1511695;1460672;1483302;1568975;1555937;1643369;1705577;1754839;1718128;1674741;1700315.24;1803906.92;1842896.71;1966368.32;1973915.78;2008727.97;2123762.69;2170998.36;2138749.77;2762095.72;2653421.72;2686812.61;3106980.07;2948569.5;3151109.92;3430665.04;3389571.52;3637744.72;3853047.74;4125929.22;4390258.38;4960151.95;5147419.93;5237945.96;5327998.23;5451603.51;5680147.22;5834652.17;5892167.12;6176352.7;6363984;6555367.22;6492787.21;6791829.33;7124259.09;7091136.09;7010766.9;6917356.86;6425143.22;
Finland;FIN;Total fisheries production (metric tons);ER.FSH.PROD.MT;65500;67000;64900;80500;62900;73250;70990;74090;92800;87300;81699;91401;89003;100000;111778;111336;119459;117831;139166;133672;164900;155094;163952;175193;178894;179188;167430;166189;175631;165108;151535;138591;169662;173823;180951;184830;196738;196526;187713;176017;171828;165716;157434;134432;148243;146088;162337;177702;162105;168253;167869;164977;174980;181400;196421;197742;207293.17;205211.9;189364.09;179213.09;155107.9;139370.4;
Fiji;FJI;Total fisheries production (metric tons);ER.FSH.PROD.MT;3000;3000;3000;3200;3400;3500;3500;3500;3800;3800;3900;3900;4700;4700;4800;5036;5589;7935;9250;20243;20404;23608;24931;24227;25639;26870;35100.4;38670.5;34209;35520.3;39528.77;33011.38;27687.1;30646.03;30300;30507;26877;30086;33075.61;56066.02;49357;50033;41526;37631.8;50194.16;47951.5;50351;48077;47483;47057.03;42710.5;47553;47467;43010;44391;41954;45511;48095;43179.41;42053.87;37784.42;33080.58;
France;FRA;Total fisheries production (metric tons);ER.FSH.PROD.MT;762676;791620;761211;799299;807550;856899;902398;925307;938596;855694;858902;846574;854245;892060;884204;879330;861687;837277;860788.3;838058.3;859149.9;873521.88;860781.64;884173.47;870403.54;922169.4;960355.58;926785.48;968697.08;944719.4;955874.8;902400.5;918553.5;957508.5;984874.6;969245.3;928743.9;929721.5;878266.5;921896.8;961254.6;923560.7;953683;948639.7;907065.2;843407.8;832528.9;791136.7;738411.4;674201.3;655652.5;695668.22;678460.7;740921.01;728391.9;704945.64;738859.69;742278.02;766095.54;719886.96;669213.06;708995.3;
Faroe Islands;FRO;Total fisheries production (metric tons);ER.FSH.PROD.MT;109375;120220;144252;137830;138990;144686;166294;173324;166187;176296;207772;207279;208162;246286;246675;285698;342013;310592;316980;266845;275286;243788;250878;330345;347352;373958;352195;391042;365943;310970;286096;246599;267528;265046;253040;296407;322171;351683;384933;400906;489222;565076;582093;683737;645463;588715;641696;651533;564940;410313;441450;415429;437035;563049;629290;666186;651768;788758;739031;748203.8;735344.7;656363.52;
Micronesia; Fed. Sts.;FSM;Total fisheries production (metric tons);ER.FSH.PROD.MT;400;500;500;600;600;700;800;1000;1000;1000;1500;1500;1500;1500;1500;1500;1500;1503;1505;1505;1720;1720;1777;1777;1777;3649;3865;3767;2974;2267;2367;12552;16740;18168;22310;8082;8808;9781;15807;12589;23460;19471;22926;33753;31972;32361;15442;20873;25445;28606;31526;38142.06;48420.62;40972.1;52496;71567;88690;101417;137920.65;181769.51;193747.86;166333.97
Gabon;GAB;Total fisheries production (metric tons);ER.FSH.PROD.MT;6000;6500;7000;7000;7000;8000;8000;8000;9000;9000;10000;10000;10000;12000;12000;14900;14820;14010;17800;21000;19800;20146;20605;19449;21002;20955;20226;22188;22093;20502;20002;22003;24005;31797;31043;40476;46175;44250;53912;51813;48384;42973;41653;45559;46152;43941;41647;37938;31450;29715;32822;36652;36548;36646;36900;33045;31050;29050;29055;29055;28945;29925;
United Kingdom;GBR;Total fisheries production (metric tons);ER.FSH.PROD.MT;1015201;953738;1003998;1007404;1034341;1115108;1138042;1101935;1115840;1162368;1172967;1204252;1169926;1213294;1172709;1065062;1125990;1079911;1115671;992599;895513;881047;915138;850643;845283;901415;860455;953345;948323;914948;821713;858108;875533;933772;969402;1011201;985986;1028751;1060640;995519;906963;939997;908023;825657;861698;843147;796532;793892;771695;787450.82;813992.85;800047.56;836921.22;858104.22;990356.65;929185.62;901821.86;953015.59;889214.31;852817.59;843243.01;864698.11;
Georgia;GEO;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39145;18820;7641;3717;2554;2644;3097;1496;1877;1716;1863;3362;12060;10081;14896;44248;48865;50731;46899;27547;13225;16825;20515;24175;46513.69;139465.38;205905;254200.15;209176.9;220365.45;
Ghana;GHA;Total fisheries production (metric tons);ER.FSH.PROD.MT;33800;36500;45700;59800;76600;76500;85700;99000;74100;131000;171611;232784;281331;221832;219327;261590;246820;272171;274887;237252;231855;240816;244492;251856;270013;276573;320177;382200;362477;362005;396232;362948;423855;373084;335937;353394;477294;447527;447341;499670;459346;456353;381182;394485;421624.4;382791.89;380912.99;331114.01;341288.14;311738;361658.65;368852.3;383796.57;322464.74;362130.15;388935.91;376556.57;425593.76;436607.37;370365.72;434979.15;482141.55;
Gibraltar;GIB;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Total fisheries production (metric tons);ER.FSH.PROD.MT;4000;4000;4000;4000;5000;5000;5000;6000;6000;6000;6000;8300;8300;9500;12100;13370;9920;9120;10000;18453;20000;22000;24000;26000;28003;30003;33002;35002;38001;41001;44001;49501;55005;60605;63805;67864;63364;62441;69764;87314;91513;105404;93756;121927;97732;109238;104828;82183;94683;127923;113689;185149.2;198574.5;230371.8;207699;185061;159879.8;321741.9;293693.6;360643.2;310705;326270;
Gambia; The;GMB;Total fisheries production (metric tons);ER.FSH.PROD.MT;4500;4800;5300;5300;5300;6200;6200;6200;6700;6700;7447;7739;7884;12294;12695;12695;12695;18092;14972;11143;13265;14739;9212;11653;11882;10712;13262;14642;13852;19842;21662;24985;18045;21308;22781;23699;31605;32747;29037;32643;29021;34532;37410;37371;32822;34960;37552;43599;42906;45909;46649;41533;36095;43759;51535;56003;58296;60496;49559;56231.66;51022.79;52686.97
Guinea-Bissau;GNB;Total fisheries production (metric tons);ER.FSH.PROD.MT;700;700;600;600;800;900;700;700;1300;1400;1500;1400;1700;1700;1700;1669;3575;4275;4283;2936;4166;3643;3977;2671;2751;3743;3700;4100;4690;5400;5400;5000;5200;5350;6000;6328;7000;7200;6700;6200;6315;6848;7324;6153;6650;6983;7067;6500;6804;6721;6584;6549;8750;11750;15750;21150;28460;38375;52278.67;60170;62402.45;63231;
Equatorial Guinea;GNQ;Total fisheries production (metric tons);ER.FSH.PROD.MT;900;500;800;1000;1000;600;1200;1100;3700;3500;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;2500;2500;2019;2341;4000;3600;4400;4000;4000;4000;3700;3500;3600;3507;5069;2306;5040;6090;6005;7001;3634;3600;3550;3550;3500;3750;4002;4535;5402;7672;7391;7132;7849;6941.15;6082.92;6438.26;6470.29;6392;6422.61;6432.72;5973.28;6322.12;
Greece;GRC;Total fisheries production (metric tons);ER.FSH.PROD.MT;87430;85390;80490;80550;84130;90320;91630;94000;100760;95150;86139;95139;93129;104576;93678;96456;107574;108571;102697;105154;107614;103525.18;106747.8;102107.4;108540.8;114961.9;124848;134743.4;123686.3;136534.5;141904;151259.9;172917.8;191678.5;214306.9;184360.5;190903.2;205816.1;170072.4;204865.75;194761.7;191708.4;184006.9;195215.4;191034.4;198638.5;211623.7;209392.8;200953.3;205192.8;191423.8;174055.59;172017.67;178169.62;165923.7;172534.4;199240.4;203840.7;210079.32;211994.58;203213.19;203557.57;
Grenada;GRD;Total fisheries production (metric tons);ER.FSH.PROD.MT;300;500;900;700;1100;1300;1200;1300;1300;1400;1300;1500;1700;1700;1634;1700;1700;2958;2238;1491;1419;788;982;1479;1555;1727;2296;2214;2092;1782;1911;2071;2115;2212;1599;1499;1577;1530;1837;1829;1705;2250;2171;2544;2039;2048;2163;2207;2386;2648;2182;2411.47;2379.63;2856.67;2665;2473.9;2762.87;2462.65;2560.92;2081.39;1936.39;1046.48;
Greenland;GRL;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;GTM;Total fisheries production (metric tons);ER.FSH.PROD.MT;1000;1300;2100;2500;2700;2100;3000;2500;1900;3000;3400;3300;3100;3700;3881;4530;3653;3074;5504;4898;3507;4273;4293;2388;3024;3166;2647;3077;3725;4327;7798;7344;7813;10868;11604;11928;11074;11303;13971;25868;43166;34804;31405;30042;14920;27987;33862;34365;42018;36772;45124.23;41312.51;33034.25;37448.39;39470.6;37401.36;39430.59;41735.72;42392.13;46714.26;45140.61;43665.51;
Guam;GUM;Total fisheries production (metric tons);ER.FSH.PROD.MT;100;100;100;100;100;100;100;100;100;100;100;100;100;100;91;131;95;184;200;164;257;326;444;327;395;518;567;500;593;550;688;690;575;599;613;482;480;491;575;554;856;905;668;616;692;440;580;488;491;602.5;296.77;231.49;212.48;218.68;197.41;181.62;179.8;262.42;207.85;205.2;165.14;140.69;
