Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;26/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
American Samoa;ASM;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;100;82;136;113;202;193;183;148;153;112;112;152;118;181;78;123;102;42;50;60;40;132;176;225;448;610;554;851;3677;6949;5099;4051;4029;5367;6537;4442;4962;5140.78;3607.12;4391.96;2861.43;2446.77;4377.95;2272.27;2337.88;2048.42;1454.78;891.17;1078.72;
Antigua and Barbuda;ATG;Total fisheries production (metric tons);ER.FSH.PROD.MT;600;800;800;800;700;800;800;800;800;800;900;900;1200;1500;1590;1601;1613;1821;1620;1219;1171;1157;950;1063;1465;2407;2400;1985;1488;990;875;1481;1692;1046;1100;1581;1439;1644;1680;1631;1728;1802;2348;2546;2478;2953;3049;3047;3397;2424;2227;3067;5969;4624;3135;3185;3185;3185;3185;3185;3135;3225;
Australia;AUS;Total fisheries production (metric tons);ER.FSH.PROD.MT;61345;61778;67136;72999;73332;83876;95708;99757;110337;98579;104218;115969;126697;128690;143486;113404;115016;147697;140839;146614;145867;162333;180767;178157;185799;172379;192817;222489;232526;210964;246942;258397;266556;266979;239526;250116;245323;247004;252579.44;268934;238463;241110;246424.04;264477.63;288642.05;295838.28;264549.48;248435.43;244446.78;250772.65;256785.25;253697.17;249464.13;240310;223956.45;234936.02;264498.39;250311.41;267598.83;257363.53;279277.46;297232.81;
Austria;AUT;Total fisheries production (metric tons);ER.FSH.PROD.MT;4200;4200;4500;4600;4900;5100;4900;4200;4000;3500;3200;2900;2600;2200;2070;2040;2360;2470;3700;4100;4300;4400;4500;4700;4700;4800;4700;4600;5100;5000;3659;3635;3619;3560;3491;3322;3399;3483;3360;3499;3286;2755;2683;2605;2667;2790;2863;2889;2437;2491;2517;3254.3;3425.5;3587;3740.3;3853.4;3833.4;4211.9;4341.6;4605.04;4891.91;5270.39;
Azerbaijan;AZE;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32029;22934;19939;11061;7121;5525;4971;21082;18937;10988;11268;6565;9608;9501;4661;3849;2524;2206;2131;1578;1277.1;1182;1234;1187.2;1379;1660;2092;1708.4;2622;1971;
Burundi;BDI;Total fisheries production (metric tons);ER.FSH.PROD.MT;9200;5300;7200;10600;9700;20200;16600;12300;15000;15600;13300;16900;7500;8500;10982;14547;20333;18900;15682;11250;14767;11880;12131;11366;11363;11371;11861;12034;11701;10787;17425;21044;24123;17050;22050;21151;3091;20346;13476;9249;17365;9014;11050;14747;13905;13450;13028;11359;18315;12665;17322.3;10715.7;12469.4;13617;16859;21446;23205;20469;21860;21927;21039;21040;
Belgium;BEL;Total fisheries production (metric tons);ER.FSH.PROD.MT;63700;61600;59900;62000;59500;59700;62800;63800;68200;58700;53000;60200;59000;53300;46820;49031;44503;45372;50597;47157;45705;49426;48044;48835;48181;45555;39996;40831;42241;40368;42135;40737;37966;36935;35100;36445;31769;31346;31681;31473;31671;32039;30862;28092;27474;24981;23147;24669;22735;22298;22957;22578;24936;25874;27007;24803;27014;24724;23116;21436;20162.8;18160;
Benin;BEN;Total fisheries production (metric tons);ER.FSH.PROD.MT;26000;28000;30000;25000;26000;20000;18800;35600;35900;36600;43110;43404;43202;40673;39402;37533;37104;36528;35879;35700;37832;37768;37521;34628;35290;36371;38753;41903;37346;41860;38234;35083;32488;39221;39923;44379;42175;43785;42139;40437;32324;38415;40670;41655;39995;31847;41922;36684;37828;39356;40275;39368;40984;43203;49128;41056.66;54133;52852.66;60223.14;79377.35;77101.91;78765;
Burkina Faso;BFA;Total fisheries production (metric tons);ER.FSH.PROD.MT;2000;2500;2500;3000;3500;3500;4000;4500;4500;4500;5000;5000;4000;5000;5000;5000;6000;6000;7000;7000;6500;7500;7000;7214;7374;7433;7630;7826;7907;8006;7006;7005;7505;7000;8000;8000;8030;8045;8375;7625;8505;8505;8505;9005;9005;9065;9750;10548;11568;12075;14800;16360;20602;20740;20936;20986;22106;25625;27752;28403;29751;30609;
Bangladesh;BGD;Total fisheries production (metric tons);ER.FSH.PROD.MT;400570;450640;500720;500810;550910;601030;601150;601300;651460;651650;690100;740100;818100;820200;822082;640070;641605;643769;646895;647128;646970;651256;689498;726587;750196;766081;793191;805285;830593;839944;846144;900720;936195;1002567;1034980;1109462;1193874;1315290;1413953;1552417;1661384;1781057;1890459;1998197;2102026;2215957;2328545;2440011;2563296;2885864;3035101;3124677;3261781;3410254;3548115;3684245;3878324;4134436;4276641;4384219;4503371;4621227.99;
