"year" "fish" "temp"
"1" 1960 -1.11683844403489 -0.826785022347627
"2" 1961 -0.461548560285702 -0.826785022347627
"3" 1962 0.17615272814754 -1.14531483095735
"4" 1963 0.15233165231747 -0.614431816607816
"5" 1964 0.999528405394298 -1.35766803669716
"6" 1965 0.367753708860993 0.447334212091245
"7" 1966 0.875184683725938 -0.826785022347627
"8" 1967 1.38953638848694 -1.46384463956707
"9" 1968 1.53739720917502 -1.46384463956707
"10" 1969 1.04151735310343 0.234981006351433
"11" 1970 2.31735008583362 -1.25149143382725
"12" 1971 1.5613899649898 -1.35766803669716
"13" 1972 -0.667297271766225 1.29674703505049
"14" 1973 -1.57828633061091 -0.826785022347627
"15" 1974 -0.878482388642445 -0.932961625217535
"16" 1975 -1.15018527367161 -1.03913822808744
"17" 1976 -0.795240537702069 0.659687417831056
"18" 1977 -1.49874343773763 0.234981006351433
"19" 1978 -1.13939581752758 -0.402078610868005
"20" 1979 -1.05936312051083 0.234981006351433
"21" 1980 -1.41996526639982 0.128804403481526
"22" 1981 -1.41669302294952 -0.295902007998097
"23" 1982 -1.11210443536952 0.659687417831056
"24" 1983 -1.85563286057188 3.84498550392824
"25" 1984 -1.18662387247626 0.341157609221337
"26" 1985 -0.873749527059386 -0.189725405128193
"27" 1986 -0.308503692308634 -0.189725405128193
"28" 1987 -0.701922715810265 1.29674703505049
"29" 1988 0.0835491561698695 -0.402078610868005
"30" 1989 0.164700640793022 -0.402078610868005
"31" 1990 0.172367356546935 -0.295902007998097
"32" 1991 0.18410544975572 0.128804403481526
"33" 1992 0.414741641247534 1.29674703505049
"34" 1993 0.988891893557366 0.659687417831056
"35" 1994 2.13421839612556 0.128804403481526
"36" 1995 0.963519962453351 -0.0835488022582857
"37" 1996 1.18511829247814 -1.14531483095735
"38" 1997 0.556028915616663 2.88939607809908
"39" 1998 -0.791622257756966 1.5091002407903
"40" 1999 0.769993030552802 -0.0835488022582857
"41" 2000 1.62181023114697 -0.720608419477723
"42" 2001 0.602470836826874 -1.03913822808744
"43" 2002 0.902101734692382 -0.508255213737912
"44" 2003 -0.1208479099967 -0.720608419477723
"45" 2004 1.22755269048169 -0.189725405128193
"46" 2005 1.14550189333282 -0.402078610868005
"47" 2006 0.23924913731811 0.341157609221337
"48" 2007 0.320134881207685 -0.826785022347627
"49" 2008 0.3930036668801 0.341157609221337
"50" 2009 0.211892753829535 0.447334212091245
"51" 2010 -0.775659460425445 -0.189725405128193
"52" 2011 0.735491853758277 0.0226278006116181
"53" 2012 -0.572986458960605 0.872040623570867
"54" 2013 -0.161133058124796 -0.508255213737912
"55" 2014 -1.03592172892313 0.341157609221337
"56" 2015 -0.569245823569826 1.61527684366021
"57" 2016 -0.953861755115827 1.08439382931068
"58" 2017 -0.817468698573743 0.978217226440775
"59" 2018 0.354165371897124 0.0226278006116181
"60" 2019 -0.53893837967585 0.341157609221337
"61" 2020 -0.230489860145538 0.128804403481526
